Fri 2024-01-12 10:58:02 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 10:58:12 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 10:58:22 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 10:58:25 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 10:58:32 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 10:58:35 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 11:10:03 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 11:49:32 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 11:49:42 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 11:59:01 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 11:59:11 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 11:59:21 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 11:59:31 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 11:59:41 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 11:59:51 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 12:00:01 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 12:00:11 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 12:00:21 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 12:00:31 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 12:01:39 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 12:01:49 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 12:01:59 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 12:02:09 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 12:04:55 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 12:05:05 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 12:05:15 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 12:05:25 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 12:05:35 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 12:48:26 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 12:48:36 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 12:48:46 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 13:06:49 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 13:06:59 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 13:07:03 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 13:07:09 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 13:07:13 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 13:07:19 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 13:07:22 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 13:07:23 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 13:19:03 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 13:19:13 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 13:19:23 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 13:19:23 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 13:21:38 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 13:21:48 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 13:27:40 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 13:27:50 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 13:27:56 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 13:28:00 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 13:28:06 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 13:28:10 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 13:28:10 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 13:28:16 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 13:28:20 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 13:28:20 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 13:28:26 Application status for Sky World Services Portal: Down, Response: connect timed out
Fri 2024-01-12 13:28:30 Application status for Sky World Services Portal: Down, Response: connect timed out
